title,address,rate_1h,rate_2h,rate_3h,rate_4h,rate_evening,rate_weekend,low_cost,hours_weekday,hours_saturday,hours_sunday,hours_sorting,,icon,lat,lng,heading,link,url,phone,cross_streets,taxes_included,epark,buslic_location_id
Desimone Lot,1615 Western Ave,$8.00,$8.00,$16.00,$16.00,$7.00,same,FALSE,24 hours,24 hours ,24 hours,24_hour,,regular," 47°36'35.60""N","122°20'35.94""W",,,,(206) 783-4144,Western Ave & Virginia St,yes,FALSE,
Diamond Lot,1524 Alaskan Way,$6.00,$12.00,$18.00,$24.00,same,same,FALSE,24 hours,24 hours,24 hours,24_hour,,regular," 47°36'28.45""N","122°20'33.20""W",,,,(206) 284-3100,Alaskan Way & Pike Place Hillclimb,no,FALSE,
Diamond Lot,202 Occidental Ave S,$5.00,$10.00,$15.00,$20.00,$12.00,same,FALSE,24 hours,24 hours,24 hours,24_hour,,regular,"47°36'2.0041""N","122°19'57.1767""W",,,,(206) 284-3100,S Washington St & Occidental Ave S,no,FALSE,
Diamond Lot,615 First Ave,$4.00,$8.75,$13.50,$18.25,$10.00,same,FALSE,24 hours,24 hours,24 hours,24_hour,,regular," 47°36'8.40""N","122°20'3.52""W",,,,(206) 284-3100,First Ave & Cherry St,no,FALSE,
Diamond Lot,122 Occidental Ave S,$5.00,$10.00,$15.00,$20.00,$12.00,same,FALSE,24 hours,24 hours,24 hours,24_hour,,regular," 47°36'3.44""N","122°19'56.97""W",,,,(206) 284-3100,S Washington Street and Occidental Ave S ,no,FALSE,
Diamond Lot,255 S Washington St,none (evening only),none (evening only),none (evening only),none (evening only),$5.00,$5.00,FALSE,6 a.m. - 6 p.m.,6 a.m. - 6 p.m.,6 a.m. - 6 p.m.,commuter,,regular," 47°36'3.43""N","122°19'51.13""W",,,,(206) 284-3100,Second Ave S Ext & S Washington St,no,FALSE,
DPS Parking,302 Second Ave S,$5.00,$10.00,$15.00,$20.00,$10.00,same,FALSE,24 hours,24 hours,24 hours,24_hour,,regular," 47°35'59.55""N","122°19'53.12""W",,,,(206) 284-3100,Second Ave S & S Main St,no,FALSE,
Frye Parking Garage,117 Third Ave S,$6.00,$10.00,$14.00,$14.00,same,n/A,FALSE,7 a.m. - 7 p.m.,Closed,Closed,commuter,,regular," 47°36'4.46""N","122°19'49.45""W",,,,(206) 622-4367,Third Ave S & Yesler Way,yes,FALSE,
Harbor Steps Garage,1200 Western Ave,$6.00,$12.00,$18.00,$24.00,$5.00 (Sun-Th) / $7.00 (F-Sat),same,FALSE,M-Th 6 a.m. - 12 a.m. / F 6 a.m. - 2 a.m.,6 a.m. - 2 a.m.,6 a.m. - 12 a.m.,evening,,regular," 47°36'21.50""N","122°20'19.68""W",,,,,Western Ave & Seneca St,no,FALSE,
Hillclimb Court Garage,1422 Alaskan Way,$3.00,$6.00,$9.00,$12.00,same,same,TRUE,7 a.m. - 8 p.m.,9 a.m. - 10 p.m.,9 a.m. - 8 p.m.,evening,,low," 47°36'27.16""N","122°20'30.05""W",,,,(206) 783-4144,Alaskan Way & Pike Place Hillclimb,yes,FALSE,
King Street Center,200 King St S,$7.00,$9.00,$10.00,$12.00,$6.00,$6.00,FALSE,6 a.m. - 7 p.m.,6 a.m. - 5 p.m.,6 a.m. - 5 p.m.,commuter,,regular,"47°35 53.7219""N","122°19'51.808""W",,,,(206) 405-3908,Second Ave S & S King St,yes,FALSE,
Market Place Garage,2001 Western Ave,$8.00,$14.00,$15.00,$17.00,$6.00,same,FALSE,M-Th 5 a.m. - 12:30 a.m. / F 5 a.m. - 1:30 a.m.,6:45 a.m. - 1:30 a.m.,8 a.m. - 11:30 p.m.,evening,,regular," 47°36'35.62""N","122°20'35.91""W",206,,,(206) 381-1789,Western Ave & Lenora St,yes,FALSE,
Market Place Tower,93 Lenora St,$6.00,$8.00,$11.00,$13.00,same,$10 (7a - 7p),FALSE,9 a.m. - 5:30 p.m.,10 a.m. - 6:30 p.m.,10 a.m. - 6:30 p.m.,commuter,Attendant hours listed; can pay after hours,regular,"47°36'41.7456""N","122°20'38.8176""W",135,,,(206) 622-1674,First Ave & Lenora St,no,FALSE,
Merrill Place Garage,72 S King St,$3.00,$6.00,$9.00,$12.00,same,same,TRUE,M-Th 6:30 a.m. - 11 p.m. / F 6:30 a.m. - 12 a.m.,4 p.m. - 12 a.m.,Closed,evening,,low," 47°35'54.18""N","122°20'6.18""W",,,,(206) 254-0811,Alaskan Way & South King St,yes,FALSE,
Millennium Tower,719 Second Ave,$8.00,$12.00,$15.00,$18.00,same,N/A,FALSE,6 a.m. - 8 p.m.,Closed,Closed,commuter,,regular," 47°36'12.39""N","122°20'3.51""W",,,,(206) 381-1789,Second Ave & Columbia St,yes,FALSE,
Norton Building,800 First Ave,$8.00,$11.00,$14.00,$18.00,$9.00 (overnight),N/A,FALSE,6:30 a.m. - 6:30 p.m.,Closed,Closed,commuter,,regular," 47°36'12.84""N","122°20'6.18""W",,,,(206) 254-0811,First Ave & Marion St,yes,FALSE,
Pioneer Square Garage,74 S Jackson St,$5.00,$7.00,$9.00,$11.00,$5.00,N/A,FALSE,6:30 a.m. - 9 p.m.,Closed,Closed,commuter,,regular," 47°35'57.42""N","122°20'5.84""W",,,,(206) 623-2064,Alaskan Way & S Jackson St,yes,FALSE,
Public Market Garage,1531 Western Ave,$3.00,$6.00,$9.00,$12.00,$5.00,same,TRUE,6:30 a.m. - 2 a.m.,6:30 a.m. - 2 a.m.,6:30 a.m. - 2 a.m.,evening,,low," 47°36'31.34""N","122°20'29.79""W",,E-Park Details,http://www.seattle.gov/transportation/epark/mobile/pikeplace.htm,(206) 682-7453,Pine St & Western Ave,yes,TRUE,16048
Republic Lot,1407 Western Ave,$7.38,$7.38,$10.65,$10.65,$8.20,same,FALSE,24 hours,24 hours,24 hours,24_hour,,regular," 47°36'26.67""N","122°20'25.43""W",,,,(206) 783-4144,Western Ave & Union St,yes,FALSE,
Seattle Steam Lot ,1301 Western Ave,$7.38,$7.38,$9.84,$12.30,$6.56 (Sun-W) / $9.84 (Th-Sat),same as above,FALSE,24 hours,24 hours,24 hours,24_hour,,regular," 47°36'22.86""N","122°20'22.61""W",,,,(206) 783-4144,Western Ave & Union St,yes,FALSE,
Sinking Ship Garage,515 Second Ave,$7.00,$12.00,$17.00,$20.00,$6.00 (S-W) / $12.00 (Th-Sat),$6.00,FALSE,24 hours,24 hours,24 hours,24_hour,Summer: Th Evening - $12; Other seasons: $6. As posted.,regular," 47°36'7.54""N","122°19'57.11""W",,,,(206) 322-3383,Second Ave & Yesler Way,yes,FALSE,
Stadium Place Garage,530 Occidental Ave S,$7.00,$10.00,$12.00,$14.00,$7.00,$10.00,FALSE,6 a.m. - 9 p.m.,8 a.m. - 8 p.m.,8 a.m. - 8 p.m.,evening,,regular,"47°35'51.55""N","122°19'59.09""W",,,,(206) 254-0811,S King St & Occidental Ave S,no,FALSE,
Waterfront Place,1011 Western Ave,$6.00,$10.00,$14.00,$16.00,same,same,FALSE,6:30 a.m. - 7 p.m.,10 a.m. - 11 p.m.,10 a.m. - 6 p.m.,evening,,regular," 47°36'15.02""N","122°20'16.23""W",,,,(206) 624-2482,Western Ave & Spring St,no,FALSE,
Watermark Tower Garage,1100 Western Ave,$3.00,$6.00,$9.00,$12.00,$5.00,same,TRUE,6:45 a.m. - 10 p.m.,6:45 a.m. - 8 p.m.,6:45 a.m. - 8 p.m.,evening,,low," 47°36'18.59""N","122°20'17.39""W",,,,(206) 622-2670,Western Ave & Seneca St,yes,FALSE,
Western and Seneca Lot,1101 Western Ave,$6.15,$11.89,$17.62,$19.67,$6.56 (M-W) / $8.20 (Th-Sun),same,FALSE,24 hours,24 hours,24 hours,24_hour,,regular," 47°36'18.16""N","122°20'17.53""W",,,,(206) 783-4144,Western Ave & Spring St,yes,FALSE,
