title,address,rate_1h,rate_2h,rate_3h,rate_4h,rate_evening,rate_weekend,low_cost,flat_rate,hours_weekday,hours_saturday,hours_sunday,hours_sorting,,icon,lat,lng,heading,link,url,phone,cross_streets,taxes_included,epark,buslic_location_id,active,total_spaces
Frye Parking Garage,117 Third Ave S,$6.50,$11.50,$14.00,$14.00,Same as Weekday,n/A,FALSE,FALSE,7 a.m. - 7 p.m.,Closed,Closed,commuter,,regular," 47°36'4.46""N","122°19'49.45""W",262,,,(206) 622-4367,Third Ave S & Yesler Way,yes,FALSE,,TRUE,
Harbor Steps Garage,1200 Western Ave,$6.00,$12.00,$18.00,$24.00,$5.00 (Sun-Th) / $7.00 (F-Sat),See Evening,FALSE,FALSE,M-Th 6 a.m. - 12 a.m. / F 6 a.m. - 2 a.m.,6 a.m. - 2 a.m.,6 a.m. - 12 a.m.,evening,,regular," 47°36'21.50""N","122°20'19.68""W",33,,,,Western Ave & Seneca St,no,FALSE,,TRUE,
Hillclimb Court Garage,1422 Alaskan Way,$3.00,$6.00,$9.00,$12.00,$5.00,Same as Evening,TRUE,FALSE,M-Th 10 a.m. - 8 p.m. / F 10 a.m. - 10 p.m.,9 a.m. - 10 p.m.,9 a.m. - 8 p.m.,evening,,low,"47°36'27.2124""N","122°20'29.5872""W",56,,,(206) 783-4144,Alaskan Way & Pike Place Hillclimb,yes,TRUE,76120,TRUE,
King Street Center,200 King St S,$7.00,$9.00,$10.00,$12.00,Same as Weekday,Same as Weekday,FALSE,FALSE,6 a.m. - 7 p.m.,6 a.m. - 5 p.m.,6 a.m. - 5 p.m.,commuter,,regular,"47°35'54.3876""N","122°19'51.4884""W",0,,,(206) 405-3908,Second Ave S & S King St,yes,FALSE,,TRUE,
Market Place Garage,2001 Western Ave,$8.00,$14.00,$17.00,$19.00,Same as Weekday,Same as Weekday,FALSE,FALSE,M-Th 5:30 a.m. - 12:30 a.m. / F 5:30 a.m. - 1:30 a.m.,6:45 a.m. - 1:30 a.m.,8 a.m. - 11:30 p.m.,evening,,regular,"47°36'35.9064""N","122°20'35.6856""W",206,,,(206) 381-1789,Western Ave & Lenora St,yes,FALSE,,TRUE,
Market Place Tower,93 Lenora St,$6.00,$8.00,$11.00,$13.00,Same as Weekday,$10 (7a - 7p),FALSE,FALSE,9 a.m. - 5:30 p.m.,10 a.m. - 6:30 p.m.,10 a.m. - 6:30 p.m.,commuter,Attendant hours listed; can pay after hours,regular,"47°36'41.7456""N","122°20'38.8176""W",135,,,(206) 622-1674,First Ave & Lenora St,no,FALSE,,TRUE,
Merrill Place Garage,72 S King St,$7.00,$10.00,$14.00,$18.00,Same as Weekday,Same as Weekday,FALSE,FALSE,M-Th 6:30 a.m. - 11 p.m. / F 6:30 a.m. - 12 a.m.,4 p.m. - 12 a.m.,Closed,evening,,regular," 47°35'54.18""N","122°20'6.18""W",0,,,(206) 254-0811,Alaskan Way & South King St,yes,FALSE,,TRUE,
Millennium Tower,719 Second Ave,$8.00,$12.00,$15.00,$18.00,Same as Weekday,N/A,FALSE,FALSE,6 a.m. - 8 p.m.,Closed,Closed,commuter,,regular," 47°36'12.39""N","122°20'3.51""W",114,,,(206) 381-1789,Second Ave & Columbia St,yes,FALSE,,TRUE,
Norton Building,800 First Ave,$8.00,$11.00,$14.00,$20.00,$9.00 (overnight),N/A,FALSE,FALSE,6:30 a.m. - 6:30 p.m.,Closed,Closed,commuter,,regular," 47°36'12.84""N","122°20'6.18""W",55,,,(206) 254-0811,First Ave & Marion St,yes,FALSE,,TRUE,
Pioneer Square Garage,74 S Jackson St,$5.00,$7.00,$9.00,$11.00,$5.00,N/A,FALSE,FALSE,6:30 a.m. - 9 p.m.,Closed,Closed,commuter,,regular,"47°35'57.426""N","122°20'5.6004""W",349,,,(206) 623-2064,Alaskan Way & S Jackson St,yes,FALSE,,TRUE,
Public Market Garage,1531 Western Ave,$3.00,$6.00,$9.00,$12.00,$5.00,Same as Evening,TRUE,FALSE,6:30 a.m. - 2 a.m.,6:30 a.m. - 2 a.m.,6:30 a.m. - 2 a.m.,evening,,low,"47° 36' 31.8096""N","122° 20' 30.1416""W",238,E-Park Details,http://www.seattle.gov/transportation/epark/mobile/pikeplace.htm,(206) 682-7453,Pine St & Western Ave,yes,TRUE,16048,TRUE,
Republic Lot,1407 Western Ave,$7.38,$7.38,$10.65,$10.65,$8.20,Same as Evening,FALSE,FALSE,24 hours,24 hours,24 hours,24_hour,,regular,"47°36'26.9604""N","122°20'25.4868""W",264,,,(206) 783-4144,Western Ave & Union St,yes,FALSE,,TRUE,
Seattle Steam Lot ,1301 Western Ave,$7.38,$7.38,$11.48,$15.58,$6.56 (Sun-W) / $9.84 (Th-Sat),See Evening,FALSE,FALSE,24 hours,24 hours,24 hours,24_hour,,regular," 47°36'22.86""N","122°20'22.61""W",329,,,(206) 783-4144,Western Ave & University St,yes,FALSE,,TRUE,
Sinking Ship Garage,515 Second Ave,$7.00,$12.00,$17.00,$20.00,$10.00,$10.00,FALSE,FALSE,24 hours,24 hours,24 hours,24_hour,Summer: Th Evening - $12; Other seasons: $6. As posted.,regular," 47°36'7.54""N","122°19'57.11""W",236,,,(206) 322-3383,Second Ave & Yesler Way,yes,FALSE,,TRUE,
Stadium Place Garage,530 Occidental Ave S,$3.00,$6.00,$9.00,$12.00,Same as Weekday,Same as Weekday,TRUE,FALSE,M-Th 6:00 a.m. - 10 p.m. / F 6:00 a.m. - 12 a.m.,8 a.m. - 12 a.m.,8 a.m. - 10 p.m.,evening,,regular,"47°35'51.55""N","122°19'59.09""W",90,,,(206) 254-0811,S King St & Occidental Ave S,no,FALSE,,TRUE,
Waterfront Place,1011 Western Ave,$6.00,$10.00,$14.00,$16.00,Same as Weekday,Same as Weekday,FALSE,FALSE,6:30 a.m. - 7 p.m.,10 a.m. - 11 p.m.,10 a.m. - 6 p.m.,evening,,regular," 47°36'15.02""N","122°20'16.23""W",345,,,(206) 624-2482,Western Ave & Spring St,no,FALSE,,TRUE,
Watermark Garage,1100 Western Ave,$3.00,$6.00,$9.00,$12.00,$5.00,Same as Evening,TRUE,FALSE,M-Wed 6:30 a.m. - 10 p.m. / Th-F 9 a.m. - 10 p.m.,9 a.m. - 10 p.m.,10 a.m. - 10 p.m.,evening,,low,"47°36'19.2816""N","122°20'17.4588""W",48,,,(206) 622-6532,Western Ave & Seneca St,yes,TRUE,76119,TRUE,
Western and Seneca Lot,1101 Western Ave,$8.00,$16.00,$24.00,$30.00,$8.00 (M-W) / $10.00 (Th-Sun),See Evening,FALSE,FALSE,24 hours,24 hours,24 hours,24_hour,,regular," 47°36'18.16""N","122°20'17.53""W",262,,,(206) 783-4144,Western Ave & Seneca St,no,FALSE,,TRUE,
Commuter Centre Garage,809 Western Ave,$5.00,$10.00,$13.00,$15.00,Same as Weekday,N/A,FALSE,FALSE,6 a.m. - 7 p.m.,Closed,Closed,commuter,,regular,"47°36'11.1096""N","122°20'10.6656""W",237,,,(206) 448-7683,Western Ave & Columbia St,yes,FALSE,,FALSE,
Commuter Centre Lot,801 Western Ave,$4.00,$8.00,$12.00,$16.00,$8.00,Same as Evening,FALSE,FALSE,24 hours,24 hours,24 hours,24_hour,,regular,"47°36'9.7668""N","122°20'11.0472""W",325,,,(206) 284-3100,Western Ave & Columbia St,no,FALSE,,TRUE,
U.S. Bank Centre / City Centre,1420 Fifth Ave,$9.00,$12.00,$15.00,$19.00,$7.00,$7.00,FALSE,TRUE,M-Th 6:30 a.m. - 11:30 p.m. / F 6:30 a.m. - 12:30 a.m. ,8:30 a.m. - 12:30 a.m.,9 a.m. - 11:30 p.m. ,evening,,flat,"47° 36' 38.87""N","122° 20' 3.26""W",233,,,(206) 223-4070,Fifth Ave & Pike St,yes,FALSE,,TRUE,
Century Square,1501 Fourth Ave,$8.00,$13.00,$17.00,$19.00,$7.00,$7.00,FALSE,TRUE,M-Th 7:00 a.m. - 1:00 a.m. / F 7:00 a.m. - 2:00 a.m.,9:00 a.m. - 2:00 a.m.,10:00 a.m. - 1:00 a.m.,evening,,flat,"47° 36' 35.99""N","122° 20' 15""W",330,,,(206) 783-4144,Fourth Ave & Pike St,yes,FALSE,,TRUE,
Westlake Tower,1601 Fifth Ave,$8.00,$12.00,$14.00,$16.00,$7.00,$7.00,FALSE,TRUE,M-Th 6:00 a.m. - 11:00 p.m. / F 6:00 a.m. - 12:00 a.m.,9:00 a.m. - 12:00 a.m.,10:00 a.m. - 11:00 p.m.,evening,,flat,"47° 36' 44.64""N","122° 20' 16.44""W",148,,,,Fifth Ave & Olive Way,yes,FALSE,,FALSE,
1700 Seventh Avenue,1700 Seventh Ave,$8.00,$8.00,$13.00,$15.00,$7.00,$7.00,FALSE,TRUE,M-F 6:00 a.m. - 10:00 p.m.,8:00 a.m. - 10:00 p.m.,9:00 a.m. - 10:00 p.m.,evening,,flat,"47° 36' 51.84""N","122° 20' 8.52""W",130,,,(206) 381-1789,Seventh Ave & Stewart St,no,FALSE,,TRUE,
Securities Third Ave.,1904 Third Ave,$6.00,$8.00,$10.00,$12.00,$6.00,$7.00,FALSE,TRUE,M-F 6:30 a.m. - 10:00 p.m. ,8:00 a.m. - 10:00 p.m.,9:00 a.m. - 8:00 p.m.,evening,,flat,"47° 36' 43.92""N","122° 20' 24.86""W",58,,,(206) 381-1789,Third Ave & Stewart St,yes,FALSE,,TRUE,
Securities Fourth Ave.,1913 Fourth Ave,$6.00,$8.00,$10.00,$12.00,$6.00,$7.00,FALSE,TRUE,M-F 6:30 a.m. - 10:00 p.m. ,8:00 a.m. - 10:00 p.m.,9:00 a.m. - 8:00 p.m.,evening,,flat,"47° 36' 45.288""N","122° 20' 22.56""W",210,,,(206) 381-1789,Fourth Ave & Stewart St,yes,FALSE,,TRUE,
520 Pike Tower,520 Pike St,$8.00,$11.00,$14.00,$18.00,$7.00,$7.00,FALSE,TRUE,M-Th 5:00 a.m. -12:00 a.m. / F 5:00 a.m. - 2:00 a.m.,5:00 a.m. - 2:00 a.m.,5:00 a.m. - 12:00 a.m.,evening,,flat,"47° 36' 39.59""N","122° 20' 6.35""W",330,,,,Pike St & Sixth Ave,yes,FALSE,,FALSE,
Union Square,600 University St,$9.00,$12.00,$15.00,$19.00,$7.00,$7.00,FALSE,TRUE,M-Th 6:00 a.m. - 12:00 a.m. / F 6:00 a.m. - 1:00 a.m.,8:00 a.m. - 1:00 a.m.,10:00 a.m. - 12:00 a.m.,evening,,flat,"47° 36' 37.87""N","122° 19' 56.71""W",157,,,(206) 447-5664,Union St & Seventh Ave,yes,FALSE,,TRUE,
720 Olive,720 Olive Way,$7.00,$12.00,$14.00,$16.00,$7.00,$7.00,FALSE,TRUE,M-F 7:00 a.m. - 10:00 p.m.,9:00 a.m. - 10:00 p.m.,10:00 a.m. - 7:00 p.m.,evening,,flat,"47° 36' 52.19""N","122° 20' 5.99""W",230,,,,Olive Way & Eighth Ave,yes,FALSE,,FALSE,
800 Fifth Avenue,800 Fifth Ave,$11.00,$18.00,$20.00,$22.00,$7.00,$7.00,FALSE,TRUE,M-F 5:30 a.m. - 12:00 a.m.,Sat 5:30 a.m. - 12:00 a.m.,Sun 5:30 a.m. - 12:00 a.m.,evening,,flat,"47° 36' 19.63""N","122° 19' 48.1""W",336,,,(206) 839-8442,Fifth Ave & Marion St,yes,FALSE,,TRUE,
Fourth & Madison,925 Fourth Ave,$12.00,$19.00,$21.00,$24.00,$7.00,$7.00,FALSE,TRUE,M-F 5:00 a.m. - 9:00 p.m.,Sat 7:00 a.m. - 7:00 p.m.,Closed,evening,,flat,"47° 36' 20.6634""N","122° 20' 0.5886""W",183,,,(206) 262-4100,Fourth Ave & Madison St,yes,FALSE,,TRUE,
Diamond Lot,300 Second Ave Ext S,$3.00,$6.00,$9.00,$15.00,$5.00,$5.00,FALSE,FALSE,8 a.m. - 11 p.m.,24 hours,24 hours,evening,,regular," 47°36'0.96""N","122°19'49.88""W",52,,,(206) 284-3100,Second Ave S & S Main St,no,FALSE,,FALSE,
West Edge,1500 Second Ave,$7.00,$12.00,$13.00,$16.00,$7.00,$7.00,FALSE,TRUE,M-Th 6:00 a.m. - 11:00 p.m. / F 6:00 a.m. - 2:00 a.m.,8:00 a.m. - 2:00 a.m.,8:00 a.m. - 7:00 p.m.,evening,,flat,"47°36'34.4""N ","122°20'20.5""W",56,,,(206) 783-4144,Second Ave & Pike St,yes,FALSE,,TRUE,
